,Brand,Model,YOM,Fuel Type,Millage(KM),Price
139,BMW,DE90,2011,Diesel,154000.0,127.0
140,BMW,E 30,1988,Petrol,407000.0,28.5
141,BMW,E 36 318I,1993,Petrol,352000.0,45.0
142,BMW,E30 316I,1991,Petrol,374000.0,18.0
143,BMW,E34,1990,Petrol,385000.0,29.5
144,BMW,E39,2002,Petrol,253000.0,85.0
145,BMW,E46 318I,2002,Petrol,253000.0,65.0
146,BMW,E46 320D,2000,Diesel,275000.0,62.5
147,BMW,E60 530I,2004,Petrol,231000.0,95.0
148,BMW,G30 530I,2017,Petrol,88000.0,380.0
149,BMW,I3 REX,2016,Hybrid,99000.0,167.0
150,BMW,I3 REX,2016,Hybrid,99000.0,167.0
151,BMW,I8 COUPE,2018,Hybrid,77000.0,349.0
152,BMW,LUXURY LINE,2017,Petrol,88000.0,225.0
153,BMW,M SPORT,2018,Petrol,77000.0,425.0
154,BMW,M2351,2014,Petrol,121000.0,355.0
155,BMW,M5 4400,2012,Petrol,143000.0,350.0
156,BMW,MINI COOPER,2020,Petrol,55000.0,149.5
157,BMW,MINI COOPER S,2007,Petrol,198000.0,89.5
158,BMW,MINI COORPER,2015,Petrol,110000.0,105.0
159,BYD,SEAL,2024,Electric,11000.0,394.5
160,CHERY,CHERY,2015,Petrol,110000.0,31.5
161,CHERY,QQ,2009,Petrol,176000.0,12.75
162,CHERY,QQ,2006,Petrol,209000.0,11.3
163,CHERY,QQ,2011,Petrol,154000.0,12.0375
164,CHERY,QQ,2010,Petrol,165000.0,18.375
165,CHERY,QQ,2006,Petrol,209000.0,11.3
166,CHERY,QQ,2007,Petrol,198000.0,12.6
167,CHERY,QQ,2007,Petrol,198000.0,13.65
168,CHERY,QQ,2006,Petrol,209000.0,12.25
169,CHERY,QQ,2011,Petrol,154000.0,14.9
170,CHERY,QQ,2006,Petrol,209000.0,13.2
171,CHERY,QQ,2006,Petrol,209000.0,11.3
172,CHERY,QQ,2006,Petrol,209000.0,9.5
173,CHERY,QQ,2006,Petrol,209000.0,8.575000000000001
174,CHERY,QQ,2011,Petrol,154000.0,15.5
